entity,field,requiredness,condition,notes
orders,customer_location_id,required,,Order must target one customer location
customer_locations,gps_latitude,required,,Canonical coordinate column
customer_locations,gps_longitude,required,,Canonical coordinate column
deliveries,mass_dry_kg,optional,,Can be measured or derived
deliveries,delivered_wet_mass_kg,optional,,Needed for dry-mass consistency checks/derivation
transport_legs,calculation_method,required,,Method selection is mandatory
transport_legs,fuel_type,conditional_required,calculation_method=energy_usage,Energy usage pathway requirement
transport_legs,fuel_consumed_liters,conditional_required,calculation_method=energy_usage and electricity_kwh is null,At least one energy input required
transport_legs,electricity_kwh,conditional_required,calculation_method=energy_usage and fuel_consumed_liters is null,At least one energy input required
transport_legs,load_mass_kg,conditional_required,calculation_method=distance_based,Distance-based pathway requirement
transport_legs,vehicle_type,conditional_required,calculation_method=distance_based,Distance-based pathway requirement
transport_legs,emission_factor_used,conditional_required,calculation_method in (energy_usage,distance_based),Required for emissions calculation
credit_batches,soil_temperature_c,conditional_required,durability_option=200_year,Durability equation input
credit_batches,h_to_c_org_ratio,conditional_required,durability_option=200_year,Durability equation input
credit_batches,mean_random_reflectance_percent,conditional_required,durability_option=1000_year,Durability equation input
credit_batches,mean_non_reactive_carbon_percent,conditional_required,durability_option=1000_year,Durability equation input
samples,nutrient_claim_enabled,required,,Trigger flag for nutrient declarations
samples,phosphorus_g_per_kg,conditional_required,nutrient_claim_enabled=true,Nutrient claim pathway
samples,potassium_g_per_kg,conditional_required,nutrient_claim_enabled=true,Nutrient claim pathway
samples,magnesium_g_per_kg,conditional_required,nutrient_claim_enabled=true,Nutrient claim pathway
samples,calcium_g_per_kg,conditional_required,nutrient_claim_enabled=true,Nutrient claim pathway
samples,iron_g_per_kg,conditional_required,nutrient_claim_enabled=true,Nutrient claim pathway
production_run_readings,continuous_gas_measurement,required,,Trigger flag for PPM requirements
production_run_readings,ch4_ppm,conditional_required,continuous_gas_measurement=true,Continuous gas measurement pathway
production_run_readings,n2o_ppm,conditional_required,continuous_gas_measurement=true,Continuous gas measurement pathway
production_run_readings,co_ppm,conditional_required,continuous_gas_measurement=true,Continuous gas measurement pathway
production_run_readings,co2_ppm,conditional_required,continuous_gas_measurement=true,Continuous gas measurement pathway
documents,metadata,required,,Document metadata required when row exists
documents,captured_at,conditional_required,document_type in (photo,video),Visual evidence timing requirement
